genre,label,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
metal,0,-104.43365478515625,100.47331237792969,-10.38443374633789,24.13457489013672,-17.534709930419922,-2.166921615600586,-6.6660895347595215,24.111793518066406,-12.510041236877441,-2.8635454177856445,-24.98542022705078,-8.477867126464844,-9.954524993896484
metal,0,-79.61740112304688,101.23949432373047,-21.079456329345703,30.838932037353516,-24.328495025634766,-0.9808217287063599,-7.730353355407715,29.872806549072266,-19.796581268310547,0.7142593860626221,-30.72895050048828,-9.571920394897461,-17.597305297851562
metal,0,-81.69615173339844,97.3211898803711,-39.42308044433594,39.87397766113281,-26.236129760742188,7.784017562866211,-8.996543884277344,33.48522186279297,-16.63941192626953,10.823467254638672,-36.90114974975586,-6.212375640869141,-16.912940979003906
metal,0,-87.46653747558594,91.41493225097656,-44.10832977294922,47.81212615966797,-20.993515014648438,15.14134407043457,-8.943445205688477,27.58156967163086,-12.637592315673828,14.012213706970215,-31.83698081970215,-0.5038708448410034,-8.590703964233398
metal,0,-93.4109115600586,85.39727020263672,-39.15366744995117,55.097007751464844,-17.110557556152344,25.18178367614746,-12.85055923461914,22.627567291259766,-12.029899597167969,17.329944610595703,-23.290246963500977,5.796067237854004,-8.902362823486328
metal,0,-98.39862823486328,80.5917739868164,-31.23916244506836,59.384864807128906,-14.471799850463867,30.472511291503906,-24.408634185791016,17.311649322509766,-13.167827606201172,25.397502899169922,-20.576080322265625,5.865078449249268,-13.519733428955078
metal,0,-107.07919311523438,76.8946533203125,-20.942745208740234,48.83776092529297,-12.151268005371094,31.09488296508789,-27.372486114501953,26.16179656982422,-12.821171760559082,33.61213684082031,-20.317659378051758,10.304887771606445,-15.401188850402832
metal,0,-103.05289459228516,71.33378601074219,-12.920239448547363,43.97421646118164,-9.06267261505127,27.77435302734375,-25.465423583984375,34.02557373046875,-10.868757247924805,32.20726013183594,-25.708786010742188,11.508659362792969,-17.60595703125
metal,0,-89.01917266845703,68.1755142211914,-18.937686920166016,47.55727767944336,-13.561102867126465,24.732524871826172,-22.891647338867188,23.716854095458984,-16.81829261779785,31.872081756591797,-25.86418914794922,6.5651750564575195,-27.111257553100586
metal,0,-89.08734893798828,75.57069396972656,-35.236717224121094,56.22688293457031,-18.72762680053711,17.55912971496582,-16.326875686645508,21.215551376342773,-18.62900733947754,26.3293399810791,-20.84506607055664,10.529767990112305,-29.01702117919922
metal,0,-98.59854125976562,88.81786346435547,-51.40981674194336,62.764896392822266,-16.573062896728516,19.793601989746094,-12.060510635375977,21.71483612060547,-15.554189682006836,15.369062423706055,-10.196730613708496,8.475175857543945,-23.812541961669922
metal,0,-104.86474609375,96.16523742675781,-61.997169494628906,64.12847137451172,-20.342235565185547,17.801931381225586,-16.01026153564453,23.37861442565918,-9.460567474365234,12.456404685974121,-0.5644530057907104,5.263461112976074,-16.694257736206055
metal,0,-104.15380096435547,98.56944274902344,-72.52023315429688,65.99299621582031,-23.648712158203125,9.466379165649414,-18.065261840820312,23.40802001953125,-8.188091278076172,14.668597221374512,0.8899339437484741,4.360007286071777,-13.087602615356445
metal,0,-91.74752044677734,96.65699768066406,-71.10920715332031,58.2807502746582,-18.559162139892578,9.562026977539062,-14.978442192077637,25.60285186767578,-11.629402160644531,15.785514831542969,-3.377854824066162,6.06955623626709,-15.641881942749023
metal,0,-59.93488311767578,86.62734985351562,-51.251373291015625,54.38429260253906,-5.552743911743164,22.726442337036133,-5.527705192565918,29.847482681274414,-13.89510440826416,21.455577850341797,-1.6912481784820557,15.255247116088867,-18.965606689453125
metal,0,-57.371768951416016,76.83348083496094,-41.203704833984375,55.164398193359375,-4.980413436889648,26.651817321777344,1.6328511238098145,34.53958511352539,-14.305631637573242,24.701766967773438,4.345146656036377,18.342350006103516,-18.323402404785156
metal,0,-61.89015197753906,73.95234680175781,-40.99067306518555,54.5208740234375,-1.7477946281433105,20.09328269958496,2.416238307952881,34.0201416015625,-18.234588623046875,21.334102630615234,4.2064619064331055,16.791372299194336,-22.895151138305664
metal,0,-65.16850280761719,74.11245727539062,-45.71598434448242,50.828643798828125,-3.595061779022217,12.768318176269531,5.80491828918457,32.39018630981445,-21.18598175048828,21.48711395263672,-2.6761481761932373,10.867151260375977,-27.636829376220703
metal,0,-62.68818283081055,78.43428039550781,-52.097007751464844,45.78450012207031,-7.84190034866333,17.12008285522461,14.37348747253418,38.62347412109375,-20.64023208618164,15.585165023803711,-16.124677658081055,7.489178657531738,-20.5290470123291
metal,0,-67.96591186523438,80.32208251953125,-55.297088623046875,39.609283447265625,-8.812450408935547,23.340309143066406,15.54135799407959,39.21867370605469,-19.08050537109375,8.649859428405762,-22.694299697875977,8.134231567382812,-16.206663131713867
metal,0,-73.42085266113281,84.388916015625,-54.01485824584961,29.90204620361328,-13.10593032836914,25.016651153564453,11.32932186126709,39.67369842529297,-18.86639404296875,8.12653636932373,-25.642009735107422,6.298730850219727,-16.107563018798828
metal,0,-76.3812026977539,87.4918441772461,-50.964256286621094,34.32830810546875,-11.732564926147461,25.863052368164062,12.525564193725586,36.782474517822266,-22.14578628540039,9.248793601989746,-21.45001220703125,8.228286743164062,-14.672388076782227
metal,0,-81.85693359375,90.82725524902344,-49.48112869262695,34.953514099121094,-16.060367584228516,22.567840576171875,15.810653686523438,34.22305679321289,-26.780139923095703,7.827840805053711,-18.560958862304688,9.280780792236328,-18.43587303161621
metal,0,-85.82771301269531,93.09486389160156,-50.339447021484375,32.380775451660156,-22.427501678466797,24.348596572875977,13.105052947998047,33.450164794921875,-28.02520751953125,7.136909008026123,-19.848526000976562,6.693942070007324,-18.091367721557617
metal,0,-78.58992004394531,91.6506118774414,-53.18119812011719,32.991493225097656,-24.132204055786133,28.880252838134766,7.897841453552246,37.41203308105469,-16.5712833404541,11.002298355102539,-24.25222396850586,3.4232139587402344,-18.071683883666992
metal,0,-60.81810760498047,86.62696838378906,-43.076393127441406,40.9523811340332,-15.866766929626465,34.662147521972656,5.960644721984863,45.38385009765625,-7.86663818359375,26.515884399414062,-22.302392959594727,6.267364978790283,-14.75676155090332
metal,0,-63.57542037963867,76.00187683105469,-26.55738067626953,40.88330841064453,-8.147066116333008,39.49797821044922,3.93165922164917,49.489013671875,-9.64395809173584,32.09075164794922,-21.23419189453125,10.020543098449707,-17.378149032592773
metal,0,-77.79664611816406,63.91693115234375,-20.48390769958496,39.54050827026367,-9.471563339233398,45.22567367553711,7.131490707397461,52.55120849609375,-13.489441871643066,31.119619369506836,-15.609368324279785,12.296513557434082,-21.10651206970215
metal,0,-84.88045501708984,58.4063720703125,-25.088539123535156,37.93946075439453,-8.674322128295898,44.22952651977539,5.203007698059082,49.975914001464844,-15.387496948242188,27.35626792907715,-17.078794479370117,12.410446166992188,-21.66429328918457
metal,0,-89.21436309814453,54.77724838256836,-26.339374542236328,37.4447021484375,-8.745220184326172,41.718833923339844,-1.3284317255020142,48.17057800292969,-14.51821517944336,22.129436492919922,-22.22076988220215,8.224782943725586,-22.905792236328125
metal,0,-91.45453643798828,54.75765609741211,-23.572551727294922,36.98906707763672,-7.235846519470215,42.28649139404297,-3.707937002182007,48.33882141113281,-17.371389389038086,20.782535552978516,-20.81237030029297,7.7022504806518555,-26.821693420410156
metal,0,-99.759765625,59.82571029663086,-20.460926055908203,41.669036865234375,-9.632511138916016,44.826904296875,-1.1850818395614624,49.46569061279297,-19.794044494628906,22.801780700683594,-17.780803680419922,11.266290664672852,-26.17303466796875
metal,0,-106.77764129638672,71.42321014404297,-26.878402709960938,47.19919967651367,-15.296749114990234,41.18683624267578,-3.7846035957336426,41.57582092285156,-24.27895736694336,21.598901748657227,-15.944862365722656,11.133411407470703,-21.148700714111328
metal,0,-111.12376403808594,81.84565734863281,-34.28086471557617,49.8513298034668,-12.679222106933594,36.94996643066406,-8.283943176269531,29.238840103149414,-25.65690040588379,14.754964828491211,-17.04273223876953,7.0232977867126465,-19.215036392211914
metal,0,-95.25149536132812,96.29084777832031,-47.7445068359375,58.61384582519531,-14.86343765258789,23.191741943359375,-12.571730613708496,18.136428833007812,-16.929656982421875,21.517332077026367,-13.790952682495117,9.412494659423828,-14.942649841308594
metal,0,-60.94411087036133,88.79043579101562,-45.74287414550781,64.82095336914062,-17.77231788635254,11.791074752807617,-18.552099227905273,16.891216278076172,-20.022045135498047,14.617086410522461,-22.381132125854492,7.569673538208008,-19.48809814453125
